question_id,chapter,subject,standard,difficulty,answer_type,correct_answer,option_a,option_b,option_c,option_d,question
Ma_Tri_12_4,Organic Chemistry,Chemistry,12,0.66,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ma_Tri_12_5,Organic Chemistry,Chemistry,12,0.82,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Tri_12_6,Electrochemistry,Chemistry,12,0.74,MCQ,C,1s²,1s²2s²2p⁴,1s²2s²2p⁶,1s²2s²2p³,The correct electronic configuration of O²⁻ is:
Ma_Tri_12_7,Electrochemistry,Chemistry,12,0.76,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ma_Tri_12_8,Electrochemistry,Chemistry,12,0.53,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ma_Tri_12_9,Electrochemistry,Chemistry,12,0.52,MCQ,A,CH2O,C2H4O2,CHO,C2H6O,"The empirical formula of a compound with C:20%, H:6.7%, O:73.3% is:"
Ch_Electr_12_180,Electrochemistry,Chemistry,12,0.67,MCQ,A,1s²2s²2p⁶,1s²2s²2p⁴,1s²2s²2p³,1s²2s²2p⁵,The correct electronic configuration of Na+ is:
Ch_Electr_12_181,Electrochemistry,Chemistry,12,0.63,MCQ,A,CH2O,C2H4O2,CHO,C2H6O,"The empirical formula of a compound with C:30%, H:6.6%, O:63.4% is:"
Ch_Electr_12_182,Electrochemistry,Chemistry,12,0.5,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ch_Electr_12_183,Electrochemistry,Chemistry,12,0.72,MCQ,A,CH2O,C2H4O2,CHO,C2H6O,"The empirical formula of a compound with C:50%, H:13.3%, O:36.7% is:"
Ch_SolidS_12_184,Solid State,Chemistry,12,0.38,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ch_SolidS_12_185,Solid State,Chemistry,12,0.39,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ch_SolidS_12_186,Solid State,Chemistry,12,0.54,MCQ,B,1s²2s²2p⁴,1s²2s²2p⁶,1s²2s²2p³,1s²2s²2p²,The correct electronic configuration of Cl- is:
Ch_SolidS_12_187,Solid State,Chemistry,12,0.51,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ch_SolidS_12_188,Solid State,Chemistry,12,0.36,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ch_SolidS_12_189,Solid State,Chemistry,12,0.83,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ch_SolidS_12_190,Solid State,Chemistry,12,0.3,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ch_SolidS_12_191,Solid State,Chemistry,12,0.69,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ch_Chemic_12_192,Chemical Kinetics,Chemistry,12,0.24,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ch_Chemic_12_193,Chemical Kinetics,Chemistry,12,0.58,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ch_Chemic_12_194,Chemical Kinetics,Chemistry,12,0.34,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ch_Chemic_12_195,Chemical Kinetics,Chemistry,12,0.83,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ch_Chemic_12_196,Chemical Kinetics,Chemistry,12,0.53,MCQ,A,CH2O,C2H4O2,CHO,C2H6O,"The empirical formula of a compound with C:40%, H:6.6%, O:53.4% is:"
Ch_Chemic_12_197,Chemical Kinetics,Chemistry,12,0.73,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ch_Chemic_12_198,Chemical Kinetics,Chemistry,12,0.58,MCQ,A,1s²2s²2p⁶,1s²2s²2p⁴,1s²2s²2p³,1s²2s²2p⁵,The correct electronic configuration of Na+ is:
Ch_Chemic_12_199,Chemical Kinetics,Chemistry,12,0.76,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ch_Coordi_12_200,Coordination Compounds,Chemistry,12,0.35,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ch_Coordi_12_201,Coordination Compounds,Chemistry,12,0.22,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ch_Coordi_12_202,Coordination Compounds,Chemistry,12,0.68,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ch_Coordi_12_203,Coordination Compounds,Chemistry,12,0.32,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ch_Coordi_12_204,Coordination Compounds,Chemistry,12,0.89,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ch_Coordi_12_205,Coordination Compounds,Chemistry,12,0.61,MCQ,A,CH2O,C2H4O2,CHO,C2H6O,"The empirical formula of a compound with C:40%, H:6.6%, O:53.4% is:"
Ch_Coordi_12_206,Coordination Compounds,Chemistry,12,0.26,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ch_Coordi_12_207,Coordination Compounds,Chemistry,12,0.81,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ch_Biomol_12_208,Biomolecules,Chemistry,12,0.38,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ch_Biomol_12_209,Biomolecules,Chemistry,12,0.52,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ch_Biomol_12_210,Biomolecules,Chemistry,12,0.39,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ch_Biomol_12_211,Biomolecules,Chemistry,12,0.38,MCQ,A,1s²2s²2p⁶,1s²2s²2p⁴,1s²2s²2p³,1s²2s²2p⁵,The correct electronic configuration of Na+ is:
Ch_Biomol_12_212,Biomolecules,Chemistry,12,0.53,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ch_Biomol_12_213,Biomolecules,Chemistry,12,0.24,MCQ,C,Electron,Neutron,Proton,Positron,Which particle determines the identity of an element?
Ch_Biomol_12_214,Biomolecules,Chemistry,12,0.66,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ch_Biomol_12_215,Biomolecules,Chemistry,12,0.23,MCQ,B,1s²2s²2p⁴,1s²2s²2p⁶,1s²2s²2p³,1s²2s²2p²,The correct electronic configuration of Cl- is:
Ch_Surfac_12_216,Surface Chemistry,Chemistry,12,0.86,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ch_Surfac_12_217,Surface Chemistry,Chemistry,12,0.63,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ch_Surfac_12_218,Surface Chemistry,Chemistry,12,0.53,MCQ,C,Mass,Volume,Density,Length,Which of the following is an intensive property?
Ch_Surfac_12_219,Surface Chemistry,Chemistry,12,0.59,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ch_Surfac_12_220,Surface Chemistry,Chemistry,12,0.69,MCQ,A,Raoult's law,Henry's law,Boyle's law,Charles's law,Which law relates vapor pressure and composition of an ideal solution?
Ch_Surfac_12_221,Surface Chemistry,Chemistry,12,0.32,MCQ,A,1s²2s²2p⁶,1s²2s²2p⁴,1s²2s²2p³,1s²2s²2p⁵,The correct electronic configuration of Na+ is:
Ch_Surfac_12_222,Surface Chemistry,Chemistry,12,0.88,MCQ,A,CH2O,C2H4O2,CHO,C2H6O,"The empirical formula of a compound with C:40%, H:13.3%, O:46.7% is:"
Ch_Surfac_12_223,Surface Chemistry,Chemistry,12,0.61,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Sets_11_224,Sets,Math,11,0.6,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Sets_11_225,Sets,Math,11,0.48,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Sets_11_226,Sets,Math,11,0.25,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 2 = 0 are:
Ma_Sets_11_227,Sets,Math,11,0.27,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 2 = 0 are:
Ma_Sets_11_228,Sets,Math,11,0.8,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Sets_11_229,Sets,Math,11,0.76,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 1 = 0 are:
Ma_Sets_11_230,Sets,Math,11,0.44,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 1 = 0 are:
Ma_Sets_11_231,Sets,Math,11,0.66,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Relati_11_232,Relations and Functions,Math,11,0.78,MCQ,B,-3,-2,-1,0,"If f(x) = x² − 4x + 1, then f(3) equals:"
Ma_Relati_11_233,Relations and Functions,Math,11,0.7,MCQ,B,-4,-3,-2,-1,"If f(x) = x² − 5x + 3, then f(3) equals:"
Ma_Relati_11_234,Relations and Functions,Math,11,0.32,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Relati_11_235,Relations and Functions,Math,11,0.63,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_Relati_11_236,Relations and Functions,Math,11,0.53,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 4 = 0 are:
Ma_Relati_11_237,Relations and Functions,Math,11,0.43,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_Relati_11_238,Relations and Functions,Math,11,0.78,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Relati_11_239,Relations and Functions,Math,11,0.73,MCQ,B,1,2,3,4,"If f(x) = x² − 4x + 5, then f(1) equals:"
Ma_Trigon_11_240,Trigonometry,Math,11,0.44,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 4 = 0 are:
Ma_Trigon_11_241,Trigonometry,Math,11,0.8,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Trigon_11_242,Trigonometry,Math,11,0.54,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Trigon_11_243,Trigonometry,Math,11,0.76,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Trigon_11_244,Trigonometry,Math,11,0.4,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Trigon_11_245,Trigonometry,Math,11,0.59,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_Trigon_11_246,Trigonometry,Math,11,0.26,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 2 = 0 are:
Ma_Trigon_11_247,Trigonometry,Math,11,0.54,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 4 = 0 are:
Ma_Straig_11_248,Straight Lines,Math,11,0.68,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Straig_11_249,Straight Lines,Math,11,0.51,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 4 = 0 are:
Ma_Straig_11_250,Straight Lines,Math,11,0.48,MCQ,B,1,2,3,4,"If f(x) = x² − 2x + 3, then f(1) equals:"
Ma_Straig_11_251,Straight Lines,Math,11,0.41,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Straig_11_252,Straight Lines,Math,11,0.53,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_Straig_11_253,Straight Lines,Math,11,0.5,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_Straig_11_254,Straight Lines,Math,11,0.45,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_Straig_11_255,Straight Lines,Math,11,0.39,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_ConicS_11_256,Conic Sections,Math,11,0.36,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_ConicS_11_257,Conic Sections,Math,11,0.42,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 2 = 0 are:
Ma_ConicS_11_258,Conic Sections,Math,11,0.33,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 2 = 0 are:
Ma_ConicS_11_259,Conic Sections,Math,11,0.39,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 4 = 0 are:
Ma_ConicS_11_260,Conic Sections,Math,11,0.89,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_ConicS_11_261,Conic Sections,Math,11,0.41,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_ConicS_11_262,Conic Sections,Math,11,0.33,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_ConicS_11_263,Conic Sections,Math,11,0.88,MCQ,B,2,3,4,5,"If f(x) = x² − 3x + 3, then f(0) equals:"
Ma_Probab_11_264,Probability,Math,11,0.69,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_Probab_11_265,Probability,Math,11,0.65,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Probab_11_266,Probability,Math,11,0.27,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Probab_11_267,Probability,Math,11,0.51,MCQ,B,1,2,3,4,"If f(x) = x² − 4x + 5, then f(3) equals:"
Ma_Probab_11_268,Probability,Math,11,0.88,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Probab_11_269,Probability,Math,11,0.86,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Probab_11_270,Probability,Math,11,0.28,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Probab_11_271,Probability,Math,11,0.6,MCQ,B,4,5,6,7,"If f(x) = x² − 5x + 5, then f(0) equals:"
Ma_Permut_11_272,Permutations,Math,11,0.31,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 1 = 0 are:
Ma_Permut_11_273,Permutations,Math,11,0.26,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_Permut_11_274,Permutations,Math,11,0.28,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Permut_11_275,Permutations,Math,11,0.62,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Permut_11_276,Permutations,Math,11,0.74,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 2 = 0 are:
Ma_Permut_11_277,Permutations,Math,11,0.52,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Permut_11_278,Permutations,Math,11,0.41,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Permut_11_279,Permutations,Math,11,0.41,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 4 = 0 are:
Ma_Calcul_12_280,Calculus,Math,12,0.63,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 1 = 0 are:
Ma_Calcul_12_281,Calculus,Math,12,0.86,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 1 = 0 are:
Ma_Calcul_12_282,Calculus,Math,12,0.64,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Calcul_12_283,Calculus,Math,12,0.66,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Calcul_12_284,Calculus,Math,12,0.37,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Calcul_12_285,Calculus,Math,12,0.31,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 1 = 0 are:
Ma_Calcul_12_286,Calculus,Math,12,0.52,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Calcul_12_287,Calculus,Math,12,0.4,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 4 = 0 are:
Ma_Integr_12_288,Integration,Math,12,0.4,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Integr_12_289,Integration,Math,12,0.69,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Integr_12_290,Integration,Math,12,0.25,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Integr_12_291,Integration,Math,12,0.85,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Integr_12_292,Integration,Math,12,0.5,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 2 = 0 are:
Ma_Integr_12_293,Integration,Math,12,0.65,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 2 = 0 are:
Ma_Integr_12_294,Integration,Math,12,0.78,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Integr_12_295,Integration,Math,12,0.62,MCQ,B,1,2,3,4,"If f(x) = x² − 2x + 2, then f(2) equals:"
Ma_Differ_12_296,Differentiation,Math,12,0.51,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_Differ_12_297,Differentiation,Math,12,0.68,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Differ_12_298,Differentiation,Math,12,0.86,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 4 = 0 are:
Ma_Differ_12_299,Differentiation,Math,12,0.51,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 4 = 0 are:
Ma_Differ_12_300,Differentiation,Math,12,0.82,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 1 = 0 are:
Ma_Differ_12_301,Differentiation,Math,12,0.62,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_Differ_12_302,Differentiation,Math,12,0.9,MCQ,B,1,2,3,4,"If f(x) = x² − 2x + 2, then f(0) equals:"
Ma_Differ_12_303,Differentiation,Math,12,0.6,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_Vector_12_304,Vectors,Math,12,0.53,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Vector_12_305,Vectors,Math,12,0.84,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 4 = 0 are:
Ma_Vector_12_306,Vectors,Math,12,0.9,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Vector_12_307,Vectors,Math,12,0.64,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Vector_12_308,Vectors,Math,12,0.88,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Vector_12_309,Vectors,Math,12,0.44,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Vector_12_310,Vectors,Math,12,0.42,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Vector_12_311,Vectors,Math,12,0.69,MCQ,B,2,3,4,5,"If f(x) = x² − 3x + 3, then f(3) equals:"
Ma_Matric_12_312,Matrices,Math,12,0.66,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Matric_12_313,Matrices,Math,12,0.77,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Matric_12_314,Matrices,Math,12,0.52,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 1 = 0 are:
Ma_Matric_12_315,Matrices,Math,12,0.38,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Matric_12_316,Matrices,Math,12,0.49,MCQ,B,-6,-5,-4,-3,"If f(x) = x² − 5x + 1, then f(3) equals:"
Ma_Matric_12_317,Matrices,Math,12,0.56,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Matric_12_318,Matrices,Math,12,0.64,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 4 = 0 are:
Ma_Matric_12_319,Matrices,Math,12,0.85,MCQ,B,0,1,2,3,"If f(x) = x² − 3x + 3, then f(1) equals:"
Ma_Probab_12_320,Probability,Math,12,0.82,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Probab_12_321,Probability,Math,12,0.28,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Probab_12_322,Probability,Math,12,0.7,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 2 = 0 are:
Ma_Probab_12_323,Probability,Math,12,0.59,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Probab_12_324,Probability,Math,12,0.27,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 4 = 0 are:
Ma_Probab_12_325,Probability,Math,12,0.55,MCQ,B,-4,-3,-2,-1,"If f(x) = x² − 5x + 1, then f(1) equals:"
Ma_Probab_12_326,Probability,Math,12,0.56,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_Probab_12_327,Probability,Math,12,0.49,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Comple_12_328,Complex Numbers,Math,12,0.89,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Comple_12_329,Complex Numbers,Math,12,0.52,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Comple_12_330,Complex Numbers,Math,12,0.47,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Comple_12_331,Complex Numbers,Math,12,0.8,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 2 = 0 are:
Ma_Comple_12_332,Complex Numbers,Math,12,0.74,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Comple_12_333,Complex Numbers,Math,12,0.44,MCQ,B,n(n−1)/2,n(n+1)/2,n²,(n+1)²/2,The sum of the first n natural numbers is:
Ma_Comple_12_334,Complex Numbers,Math,12,0.77,MCQ,B,Real,Imaginary,Zero,None,The roots of x² + 3 = 0 are:
Ma_Comple_12_335,Complex Numbers,Math,12,0.71,MCQ,A,1/2,1/3,1,2,∫₀¹ x dx equals:
Ma_Comple_12_336,Complex Numbers,Math,12,0.3,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Differ_12_337,Differentiation,Math,12,0.43,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Vector_12_338,Vectors,Math,12,0.85,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ph_Gravit_11_339,Gravitation,Physics,11,0.47,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ch_Chemic_11_340,Chemical Bonding,Chemistry,11,0.72,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Vector_12_341,Vectors,Math,12,0.89,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Straig_11_342,Straight Lines,Math,11,0.88,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ph_Semico_12_343,Semiconductors,Physics,12,0.27,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ch_RedoxR_11_344,Redox Reactions,Chemistry,11,0.84,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ph_Lawsof_11_345,Laws of Motion,Physics,11,0.81,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ph_Lawsof_11_346,Laws of Motion,Physics,11,0.75,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ch_Coordi_12_347,Coordination Compounds,Chemistry,12,0.68,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Permut_11_348,Permutations,Math,11,0.43,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ma_Differ_12_349,Differentiation,Math,12,0.64,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ch_RedoxR_11_350,Redox Reactions,Chemistry,11,0.25,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ma_Integr_12_351,Integration,Math,12,0.72,MCQ,A,cos x,−cos x,sin x,−sin x,The derivative of sin x is:
Ch_States_11_352,States of Matter,Chemistry,11,0.64,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ph_Curren_12_353,Current Electricity,Physics,12,0.69,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ph_Kinema_11_354,Kinematics,Physics,11,0.76,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ch_SolidS_12_355,Solid State,Chemistry,12,0.5,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ph_Magnet_12_356,Magnetism,Physics,12,0.68,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ph_Workan_11_357,Work and Energy,Physics,11,0.26,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ch_Equili_11_358,Equilibrium,Chemistry,11,0.84,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ph_Lawsof_11_359,Laws of Motion,Physics,11,0.65,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ch_Biomol_12_360,Biomolecules,Chemistry,12,0.21,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ch_Biomol_12_361,Biomolecules,Chemistry,12,0.58,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
Ph_Optics_12_362,Optics,Physics,12,0.89,MCQ,C,Displacement,Velocity,Speed,Acceleration,Which quantity is scalar?
Ch_Biomol_12_363,Biomolecules,Chemistry,12,0.38,MCQ,A,6.02 × 10²³,3.00 × 10⁸,1.60 × 10⁻¹⁹,9.81,Avogadro's number is approximately:
